Company Name,Revenue,Margin,Orders,Units,Recency
Customer10683,8348,1386,5,5,1138
Customer10684,10893,2746,1,20,642
Customer10685,1209,114,1,1,643
Customer10686,757,44,1,1,634
Customer10687,2029,538,1,2,669
Customer10688,2016,217,1,1,619
Customer10689,2115,260,1,1,625
Customer1069,2192,715,1,1,968
Customer10690,545,23,1,1,601
Customer10691,595,92,1,1,676
Customer10692,2097,756,2,2,1212
Customer10693,1195,232,1,2,601
Customer10694,6154,821,5,9,1160
Customer10695,1367,102,1,3,675
Customer10696,13457,0,1,24,600
Customer10697,20187,8765,6,10,653
Customer10698,2358,487,2,3,637
Customer10699,561,0,1,1,602
Customer107,22565,3566,12,15,3250
Customer1070,1270,272,1,1,977
Customer10700,2796,864,1,2,622
Customer10701,13154,1033,3,20,1145
Customer10702,720,232,1,1,651
Customer10703,1918,990,1,1,599
Customer10704,2251,1136,1,1,602
Customer10705,699,70,1,1,620
Customer10706,2796,417,1,4,616
Customer10707,1661,713,1,1,650
Customer10708,469,71,1,1,637
Customer10709,1597,677,1,1,626
Customer1071,6220,2305,8,9,4354
